comment,likes,cleaned,case_folded,tokenized,stopword_removed,stemmed,final_text,komentar_bersih,label
DIH UDAH GITU DOANG??!! 7 JAM LAH MINIMAL,0,DIH UDAH GITU DOANG 7 JAM LAH MINIMAL,dih udah gitu doang 7 jam lah minimal,"['dih', 'udah', 'gitu', 'doang', '7', 'jam', 'lah', 'minimal']","['dih', 'udah', 'gitu', 'doang', '7', 'jam', 'minimal']","['dih', 'udah', 'gitu', 'doang', '7', 'jam', 'minimal']",dih udah gitu doang 7 jam minimal,dih udah gitu doang 7 jam minimal,Negatif
gong banget pas baju sandy😭,1,gong banget pas baju sandy,gong banget pas baju sandy,"['gong', 'banget', 'pas', 'baju', 'sandy']","['gong', 'banget', 'pas', 'baju', 'sandy']","['gong', 'banget', 'pas', 'baju', 'sandy']",gong banget pas baju sandy,gong banget pas baju sandy,Positif
S7mpah kosong bsnge5 nih   $,0,S7mpah kosong bsnge5 nih,s7mpah kosong bsnge5 nih,"['s7mpah', 'kosong', 'bsnge5', 'nih']","['s7mpah', 'kosong', 'bsnge5', 'nih']","['s7mpah', 'kosong', 'bsnge5', 'nih']",s7mpah kosong bsnge5 nih,s7mpah kosong bsnge5 nih,Negatif
SERUUUUUUUUUUUUUUUUUUUUUUUUUUU,0,SERUUUUUUUUUUUUUUUUUUUUUUUUUUU,seruuuuuuuuuuuuuuuuuuuuuuuuuuu,['seruuuuuuuuuuuuuuuuuuuuuuuuuuu'],['seruuuuuuuuuuuuuuuuuuuuuuuuuuu'],['seruuuuuuuuuuuuuuuuuuuuuuuuuuu'],seruuuuuuuuuuuuuuuuuuuuuuuuuuu,seruuuuuuuuuuuuuuuuuuuuuuuuuuu,Positif
LUCUUUU BANGET,0,LUCUUUU BANGET,lucuuuu banget,"['lucuuuu', 'banget']","['lucuuuu', 'banget']","['lucuuuu', 'banget']",lucuuuu banget,lucuuuu banget,Positif
tiap abis nonton suka merenung sebenernya apa yg barusan aku tonton....,531,tiap abis nonton suka merenung sebenernya apa yang barusan aku tonton,tiap abis nonton suka merenung sebenernya apa yang barusan aku tonton,"['tiap', 'abis', 'nonton', 'suka', 'merenung', 'sebenernya', 'apa', 'yang', 'barusan', 'aku', 'tonton']","['abis', 'nonton', 'suka', 'merenung', 'sebenernya', 'barusan', 'tonton']","['abis', 'nonton', 'suka', 'renung', 'sebenernya', 'barusan', 'tonton']",abis nonton suka renung sebenernya barusan tonton,abis nonton suka renung sebenernya barusan tonton,Negatif
🤣🤣🤣🤣 ngakak sepanjang video,0,ngakak sepanjang video,ngakak sepanjang video,"['ngakak', 'sepanjang', 'video']","['ngakak', 'video']","['ngakak', 'video']",ngakak video,ngakak video,Positif
host nya speachless wwjjwjwj,0,host nya speachless wwjjwjwj,host nya speachless wwjjwjwj,"['host', 'nya', 'speachless', 'wwjjwjwj']","['host', 'nya', 'speachless', 'wwjjwjwj']","['host', 'nya', 'speachless', 'wwjjwjwj']",host nya speachless wwjjwjwj,host nya speachless wwjjwjwj,Positif
"tiba2 banget pak arif pak timbul, pesanggrahan 10 ya??!!🫵😫",0,tiba2 banget pak arif pak timbul pesanggrahan 10 ya,tiba2 banget pak arif pak timbul pesanggrahan 10 ya,"['tiba2', 'banget', 'pak', 'arif', 'pak', 'timbul', 'pesanggrahan', '10', 'ya']","['tiba2', 'banget', 'arif', 'timbul', 'pesanggrahan', '10', 'ya']","['tiba2', 'banget', 'arif', 'timbul', 'pesanggrahan', '10', 'ya']",tiba2 banget arif timbul pesanggrahan 10 ya,tiba2 banget arif timbul pesanggrahan 10 ya,Netral
ini yg jadi host sebnernya io niki atau sandy anjiiww wkwkjalknda,0,ini yang jadi host sebnernya io niki atau sandy anjiiww wkwkjalknda,ini yang jadi host sebnernya io niki atau sandy anjiiww wkwkjalknda,"['ini', 'yang', 'jadi', 'host', 'sebnernya', 'io', 'niki', 'atau', 'sandy', 'anjiiww', 'wkwkjalknda']","['host', 'sebnernya', 'io', 'niki', 'sandy', 'anjiiww', 'wkwkjalknda']","['host', 'sebnernya', 'io', 'nik', 'sandy', 'anjiiww', 'wkwkjalknda']",host sebnernya io nik sandy anjiiww wkwkjalknda,host sebnernya io nik sandy anjiiww wkwkjalknda,Positif
Gw merasakan indonesia emas dari podcast ini🎉,0,saya merasakan indonesia emas dari podcast ini,saya merasakan indonesia emas dari podcast ini,"['saya', 'merasakan', 'indonesia', 'emas', 'dari', 'podcast', 'ini']","['merasakan', 'indonesia', 'emas', 'podcast']","['rasa', 'indonesia', 'emas', 'podcast']",rasa indonesia emas podcast,rasa indonesia emas podcast,Positif
"Abis belajar mat wajib, terus nonton ini berasa mempertanyakan tujuan hidup banget ini😭😭😭😭",1,Abis belajar mat wajib terus nonton ini berasa mempertanyakan tujuan hidup banget ini,abis belajar mat wajib terus nonton ini berasa mempertanyakan tujuan hidup banget ini,"['abis', 'belajar', 'mat', 'wajib', 'terus', 'nonton', 'ini', 'berasa', 'mempertanyakan', 'tujuan', 'hidup', 'banget', 'ini']","['abis', 'belajar', 'mat', 'wajib', 'nonton', 'berasa', 'tujuan', 'hidup', 'banget']","['abis', 'ajar', 'mat', 'wajib', 'nonton', 'asa', 'tuju', 'hidup', 'banget']",abis ajar mat wajib nonton asa tuju hidup banget,abis ajar mat wajib nonton asa tuju hidup banget,Positif
NI-KI... KOK TAMUNYA MIRIP KAMU???? apakah k-kalian katak beradik,0,NIKI KOK TAMUNYA MIRIP KAMU apakah kkalian katak beradik,niki kok tamunya mirip kamu apakah kkalian katak beradik,"['niki', 'kok', 'tamunya', 'mirip', 'kamu', 'apakah', 'kkalian', 'katak', 'beradik']","['niki', 'tamunya', 'kkalian', 'katak', 'beradik']","['nik', 'tamu', 'kkalian', 'katak', 'adik']",nik tamu kkalian katak adik,nik tamu kkalian katak adik,Netral
"tadi lewat dikit di tiktok,akhirnya nonton full,dari awal nonton ngakak mulu😭😭😭",0,tadi lewat dikit di tiktokakhirnya nonton fulldari awal nonton ngakak mulu,tadi lewat dikit di tiktokakhirnya nonton fulldari awal nonton ngakak mulu,"['tadi', 'lewat', 'dikit', 'di', 'tiktokakhirnya', 'nonton', 'fulldari', 'awal', 'nonton', 'ngakak', 'mulu']","['dikit', 'tiktokakhirnya', 'nonton', 'fulldari', 'nonton', 'ngakak', 'mulu']","['dikit', 'tiktokakhirnya', 'nonton', 'fulldari', 'nonton', 'ngakak', 'mulu']",dikit tiktokakhirnya nonton fulldari nonton ngakak mulu,dikit tiktokakhirnya nonton fulldari nonton ngakak mulu,Positif
dari awal udah DAGING semua!,0,dari awal udah DAGING semua,dari awal udah daging semua,"['dari', 'awal', 'udah', 'daging', 'semua']","['udah', 'daging']","['udah', 'daging']",udah daging,udah daging,Positif
MANA EPS 166666,0,MANA EPS,mana eps,"['mana', 'eps']",['eps'],['eps'],eps,eps,Netral
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1731"">28:51</a>  ga ekspek😭",0,ga ekspek,ga ekspek,"['ga', 'ekspek']","['ga', 'ekspek']","['ga', 'ekspek']",ga ekspek,ga ekspek,Positif
cape nya ya allah,0,cape nya ya allah,cape nya ya allah,"['cape', 'nya', 'ya', 'allah']","['cape', 'nya', 'ya', 'allah']","['cape', 'nya', 'ya', 'allah']",cape nya ya allah,cape nya ya allah,Negatif
IBRAHIMOVIC🤣🤣🤣,0,IBRAHIMOVIC,ibrahimovic,['ibrahimovic'],['ibrahimovic'],['ibrahimovic'],ibrahimovic,ibrahimovic,Netral
Gokil ngundang joe sandy,0,Gokil ngundang joe sandy,gokil ngundang joe sandy,"['gokil', 'ngundang', 'joe', 'sandy']","['gokil', 'ngundang', 'joe', 'sandy']","['gokil', 'ngundang', 'joe', 'sandy']",gokil ngundang joe sandy,gokil ngundang joe sandy,Positif
Wkkww muka nya kyak orang bener,0,Wkkww muka nya kyak orang bener,wkkww muka nya kyak orang bener,"['wkkww', 'muka', 'nya', 'kyak', 'orang', 'bener']","['wkkww', 'muka', 'nya', 'kyak', 'orang', 'bener']","['wkkww', 'muka', 'nya', 'kyak', 'orang', 'bener']",wkkww muka nya kyak orang bener,wkkww muka nya kyak orang bener,Positif
"bener bener nambah wawasan bgt ya, keren bgt bikin org jadi terinspirasi☺️",0,bener bener nambah wawasan banget ya keren banget bikin org jadi terinspirasi,bener bener nambah wawasan banget ya keren banget bikin org jadi terinspirasi,"['bener', 'bener', 'nambah', 'wawasan', 'banget', 'ya', 'keren', 'banget', 'bikin', 'org', 'jadi', 'terinspirasi']","['bener', 'bener', 'nambah', 'wawasan', 'banget', 'ya', 'keren', 'banget', 'bikin', 'org', 'terinspirasi']","['bener', 'bener', 'nambah', 'wawas', 'banget', 'ya', 'keren', 'banget', 'bikin', 'org', 'inspirasi']",bener bener nambah wawas banget ya keren banget bikin org inspirasi,bener bener nambah wawas banget ya keren banget bikin org inspirasi,Positif
"ini mah emang jiwanya sandy, makanya nyambung wkwkwk",1,ini mah emang jiwanya sandy makanya nyambung wkwkwk,ini mah emang jiwanya sandy makanya nyambung wkwkwk,"['ini', 'mah', 'emang', 'jiwanya', 'sandy', 'makanya', 'nyambung', 'wkwkwk']","['mah', 'emang', 'jiwanya', 'sandy', 'nyambung', 'wkwkwk']","['mah', 'emang', 'jiwa', 'sandy', 'nyambung', 'wkwkwk']",mah emang jiwa sandy nyambung wkwkwk,mah emang jiwa sandy nyambung wkwkwk,Positif
ngevibe bgt sendi ahahahahah 😭,0,ngevibe banget sendi ahahahahah,ngevibe banget sendi ahahahahah,"['ngevibe', 'banget', 'sendi', 'ahahahahah']","['ngevibe', 'banget', 'sendi', 'ahahahahah']","['ngevibe', 'banget', 'sendi', 'ahahahahah']",ngevibe banget sendi ahahahahah,ngevibe banget sendi ahahahahah,Positif
Episode ter lucu ter absurd. Ampe bengek,1,Episode ter lucu ter absurd Ampe bengek,episode ter lucu ter absurd ampe bengek,"['episode', 'ter', 'lucu', 'ter', 'absurd', 'ampe', 'bengek']","['episode', 'ter', 'lucu', 'ter', 'absurd', 'ampe', 'bengek']","['episode', 'ter', 'lucu', 'ter', 'absurd', 'ampe', 'bengek']",episode ter lucu ter absurd ampe bengek,episode ter lucu ter absurd ampe bengek,Positif
terima kasih bg niki ak merasa waras hbis liat ini video,1,terima kasih bg niki saya merasa waras hbis liat ini video,terima kasih bg niki saya merasa waras hbis liat ini video,"['terima', 'kasih', 'bg', 'niki', 'saya', 'merasa', 'waras', 'hbis', 'liat', 'ini', 'video']","['terima', 'kasih', 'bg', 'niki', 'waras', 'hbis', 'liat', 'video']","['terima', 'kasih', 'bg', 'nik', 'waras', 'hbis', 'liat', 'video']",terima kasih bg nik waras hbis liat video,terima kasih bg nik waras hbis liat video,Positif
Ditunggu sampai part 5,0,Ditunggu sampai part 5,ditunggu sampai part 5,"['ditunggu', 'sampai', 'part', '5']","['ditunggu', 'part', '5']","['tunggu', 'part', '5']",tunggu part 5,tunggu part 5,Netral
Ini bisa ga podcast lagi tapi durasi nya 10 jam,1,Ini bisa ga podcast lagi tapi durasi nya 10 jam,ini bisa ga podcast lagi tapi durasi nya 10 jam,"['ini', 'bisa', 'ga', 'podcast', 'lagi', 'tapi', 'durasi', 'nya', '10', 'jam']","['ga', 'podcast', 'durasi', 'nya', '10', 'jam']","['ga', 'podcast', 'durasi', 'nya', '10', 'jam']",ga podcast durasi nya 10 jam,ga podcast durasi nya 10 jam,Netral
LUCUU BANGET ANJIR GAKUAATT 😭😭😭,1,LUCUU BANGET ANJIR GAKUAATT,lucuu banget anjir gakuaatt,"['lucuu', 'banget', 'anjir', 'gakuaatt']","['lucuu', 'banget', 'anjir', 'gakuaatt']","['lucuu', 'banget', 'anjir', 'gakuaatt']",lucuu banget anjir gakuaatt,lucuu banget anjir gakuaatt,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1192"">19:52</a> gw bingung kan nama axel itu dibaca Axel kan excel ko mereka manggil axel eksel sih",0,saya bingung kan nama axel itu dibaca Axel kan excel ko mereka manggil axel eksel sih,saya bingung kan nama axel itu dibaca axel kan excel ko mereka manggil axel eksel sih,"['saya', 'bingung', 'kan', 'nama', 'axel', 'itu', 'dibaca', 'axel', 'kan', 'excel', 'ko', 'mereka', 'manggil', 'axel', 'eksel', 'sih']","['bingung', 'nama', 'axel', 'dibaca', 'axel', 'excel', 'ko', 'manggil', 'axel', 'eksel', 'sih']","['bingung', 'nama', 'axel', 'baca', 'axel', 'excel', 'ko', 'manggil', 'axel', 'eksel', 'sih']",bingung nama axel baca axel excel ko manggil axel eksel sih,bingung nama axel baca axel excel ko manggil axel eksel sih,Netral
"Ngakak bgt liat ekspresi niky kena prank sandy haha pamungkasnya &quot;pak timbul, pak arif guru yg paling buncitt&quot; 😂😂😂😂😂",0,Ngakak banget liat ekspresi niky kena prank sandy haha pamungkasnya pak timbul pak arif guru yang paling buncitt,ngakak banget liat ekspresi niky kena prank sandy haha pamungkasnya pak timbul pak arif guru yang paling buncitt,"['ngakak', 'banget', 'liat', 'ekspresi', 'niky', 'kena', 'prank', 'sandy', 'haha', 'pamungkasnya', 'pak', 'timbul', 'pak', 'arif', 'guru', 'yang', 'paling', 'buncitt']","['ngakak', 'banget', 'liat', 'ekspresi', 'niky', 'kena', 'prank', 'sandy', 'haha', 'pamungkasnya', 'timbul', 'arif', 'guru', 'buncitt']","['ngakak', 'banget', 'liat', 'ekspresi', 'niky', 'kena', 'prank', 'sandy', 'haha', 'pamungkas', 'timbul', 'arif', 'guru', 'buncitt']",ngakak banget liat ekspresi niky kena prank sandy haha pamungkas timbul arif guru buncitt,ngakak banget liat ekspresi niky kena prank sandy haha pamungkas timbul arif guru buncitt,Positif
Inimah keluarga asbun,0,Inimah keluarga asbun,inimah keluarga asbun,"['inimah', 'keluarga', 'asbun']","['inimah', 'keluarga', 'asbun']","['inimah', 'keluarga', 'asbun']",inimah keluarga asbun,inimah keluarga asbun,Negatif
Kumpulan pria warass,0,Kumpulan pria warass,kumpulan pria warass,"['kumpulan', 'pria', 'warass']","['kumpulan', 'pria', 'warass']","['kumpul', 'pria', 'warass']",kumpul pria warass,kumpul pria warass,Positif
ngapa sih sereceh ini gua 😂😂,0,ngapa sih sereceh ini gua,ngapa sih sereceh ini gua,"['ngapa', 'sih', 'sereceh', 'ini', 'gua']","['ngapa', 'sih', 'sereceh', 'gua']","['ngapa', 'sih', 'receh', 'gua']",ngapa sih receh gua,ngapa sih receh gua,Positif
Absurd banget 😭😭🤣🤣,0,Absurd banget,absurd banget,"['absurd', 'banget']","['absurd', 'banget']","['absurd', 'banget']",absurd banget,absurd banget,Negatif
Seru juga ya ngomong ng masuk akal gini🤧-candaa (btw aku 1 mei jga),0,Seru juga ya ngomong ng masuk akal ginicandaa btw aku 1 mei jga,seru juga ya ngomong ng masuk akal ginicandaa btw aku 1 mei jga,"['seru', 'juga', 'ya', 'ngomong', 'ng', 'masuk', 'akal', 'ginicandaa', 'btw', 'aku', '1', 'mei', 'jga']","['seru', 'ya', 'ngomong', 'ng', 'masuk', 'akal', 'ginicandaa', 'btw', '1', 'mei', 'jga']","['seru', 'ya', 'ngomong', 'ng', 'masuk', 'akal', 'ginicandaa', 'btw', '1', 'mei', 'jga']",seru ya ngomong ng masuk akal ginicandaa btw 1 mei jga,seru ya ngomong ng masuk akal ginicandaa btw 1 mei jga,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1744"">29:04</a> im dead😭😭",0,im dead,im dead,"['im', 'dead']","['im', 'dead']","['im', 'dead']",im dead,im dead,Positif
Heh sandy stooppp!!😂😭😭,0,Heh sandy stooppp,heh sandy stooppp,"['heh', 'sandy', 'stooppp']","['heh', 'sandy', 'stooppp']","['heh', 'sandy', 'stooppp']",heh sandy stooppp,heh sandy stooppp,Negatif
Pecah banget pas setelah bilang Axel😭 malah kayak tebak²an🤣🤣,0,Pecah banget pas setelah bilang Axel malah kayak tebakan,pecah banget pas setelah bilang axel malah kayak tebakan,"['pecah', 'banget', 'pas', 'setelah', 'bilang', 'axel', 'malah', 'kayak', 'tebakan']","['pecah', 'banget', 'pas', 'bilang', 'axel', 'kayak', 'tebakan']","['pecah', 'banget', 'pas', 'bilang', 'axel', 'kayak', 'tebak']",pecah banget pas bilang axel kayak tebak,pecah banget pas bilang axel kayak tebak,Positif
"lucu bgt anjrit satu episode gue sampe sesek nafas ngakak mulu, sandy adalah lawan sepadan ☝😭",0,lucu banget anjrit satu episode gue sampe sesek nafas ngakak mulu sandy adalah lawan sepadan,lucu banget anjrit satu episode gue sampe sesek nafas ngakak mulu sandy adalah lawan sepadan,"['lucu', 'banget', 'anjrit', 'satu', 'episode', 'gue', 'sampe', 'sesek', 'nafas', 'ngakak', 'mulu', 'sandy', 'adalah', 'lawan', 'sepadan']","['lucu', 'banget', 'anjrit', 'episode', 'gue', 'sampe', 'sesek', 'nafas', 'ngakak', 'mulu', 'sandy', 'lawan', 'sepadan']","['lucu', 'banget', 'anjrit', 'episode', 'gue', 'sampe', 'sek', 'nafas', 'ngakak', 'mulu', 'sandy', 'lawan', 'padan']",lucu banget anjrit episode gue sampe sek nafas ngakak mulu sandy lawan padan,lucu banget anjrit episode gue sampe sek nafas ngakak mulu sandy lawan padan,Positif
WKWKWKWKWK KOCAK,0,WKWKWKWKWK KOCAK,wkwkwkwkwk kocak,"['wkwkwkwkwk', 'kocak']","['wkwkwkwkwk', 'kocak']","['wkwkwkwkwk', 'kocak']",wkwkwkwkwk kocak,wkwkwkwkwk kocak,Positif
Endingnya ga espek bangett ngakak 😂😂😂,0,Endingnya ga espek bangett ngakak,endingnya ga espek bangett ngakak,"['endingnya', 'ga', 'espek', 'bangett', 'ngakak']","['endingnya', 'ga', 'espek', 'bangett', 'ngakak']","['endingnya', 'ga', 'espek', 'bangett', 'ngakak']",endingnya ga espek bangett ngakak,endingnya ga espek bangett ngakak,Positif
Universitas negeri singapura 😂,0,Universitas negeri singapura,universitas negeri singapura,"['universitas', 'negeri', 'singapura']","['universitas', 'negeri', 'singapura']","['universitas', 'negeri', 'singapura']",universitas negeri singapura,universitas negeri singapura,Netral
Banyakin Collabs donggg bertigaa huhuuuu seruuuuuuuuuuuuuuuuuuuuuu!,0,Banyakin Collabs donggg bertigaa huhuuuu seruuuuuuuuuuuuuuuuuuuuuu,banyakin collabs donggg bertigaa huhuuuu seruuuuuuuuuuuuuuuuuuuuuu,"['banyakin', 'collabs', 'donggg', 'bertigaa', 'huhuuuu', 'seruuuuuuuuuuuuuuuuuuuuuu']","['banyakin', 'collabs', 'donggg', 'bertigaa', 'huhuuuu', 'seruuuuuuuuuuuuuuuuuuuuuu']","['banyakin', 'collabs', 'donggg', 'bertigaa', 'huhuuuu', 'seruuuuuuuuuuuuuuuuuuuuuu']",banyakin collabs donggg bertigaa huhuuuu seruuuuuuuuuuuuuuuuuuuuuu,banyakin collabs donggg bertigaa huhuuuu seruuuuuuuuuuuuuuuuuuuuuu,Positif
Uns ma universitas sebelas maret surakarta😔,0,Uns ma universitas sebelas maret surakarta,uns ma universitas sebelas maret surakarta,"['uns', 'ma', 'universitas', 'sebelas', 'maret', 'surakarta']","['uns', 'ma', 'universitas', 'sebelas', 'maret', 'surakarta']","['uns', 'ma', 'universitas', 'sebelas', 'maret', 'surakarta']",uns ma universitas sebelas maret surakarta,uns ma universitas sebelas maret surakarta,Netral
Si Sandy² itu yg ga pernah lupa sahabatnya,0,Si Sandy itu yang ga pernah lupa sahabatnya,si sandy itu yang ga pernah lupa sahabatnya,"['si', 'sandy', 'itu', 'yang', 'ga', 'pernah', 'lupa', 'sahabatnya']","['si', 'sandy', 'ga', 'lupa', 'sahabatnya']","['si', 'sandy', 'ga', 'lupa', 'sahabat']",si sandy ga lupa sahabat,si sandy ga lupa sahabat,Positif
SUMPAH INI PODCAST TERSERUU,0,SUMPAH INI PODCAST TERSERUU,sumpah ini podcast terseruu,"['sumpah', 'ini', 'podcast', 'terseruu']","['sumpah', 'podcast', 'terseruu']","['sumpah', 'podcast', 'terseruu']",sumpah podcast terseruu,sumpah podcast terseruu,Positif
make ni orang,0,make ni orang,make ni orang,"['make', 'ni', 'orang']","['make', 'ni', 'orang']","['make', 'ni', 'orang']",make ni orang,make ni orang,Negatif
Sandy bertemu dengan habitatnya ekwkw,0,Sandy bertemu dengan habitatnya ekwkw,sandy bertemu dengan habitatnya ekwkw,"['sandy', 'bertemu', 'dengan', 'habitatnya', 'ekwkw']","['sandy', 'bertemu', 'habitatnya', 'ekwkw']","['sandy', 'temu', 'habitat', 'ekwkw']",sandy temu habitat ekwkw,sandy temu habitat ekwkw,Netral
"waras bangett aku nontonn iniii, ga ekspek closingnya kocakk",0,waras bangett aku nontonn iniii ga ekspek closingnya kocakk,waras bangett aku nontonn iniii ga ekspek closingnya kocakk,"['waras', 'bangett', 'aku', 'nontonn', 'iniii', 'ga', 'ekspek', 'closingnya', 'kocakk']","['waras', 'bangett', 'nontonn', 'iniii', 'ga', 'ekspek', 'closingnya', 'kocakk']","['waras', 'bangett', 'nontonn', 'iniii', 'ga', 'ekspek', 'closingnya', 'kocakk']",waras bangett nontonn iniii ga ekspek closingnya kocakk,waras bangett nontonn iniii ga ekspek closingnya kocakk,Positif
next keluarin album nya ya❤,0,next keluarin album nya ya,next keluarin album nya ya,"['next', 'keluarin', 'album', 'nya', 'ya']","['next', 'keluarin', 'album', 'nya', 'ya']","['next', 'keluarin', 'album', 'nya', 'ya']",next keluarin album nya ya,next keluarin album nya ya,Netral
akhirnya bisa makan,0,akhirnya bisa makan,akhirnya bisa makan,"['akhirnya', 'bisa', 'makan']",['makan'],['makan'],makan,makan,Positif
ini durasinya gabisa 5 hari?,1,ini durasinya gabisa 5 hari,ini durasinya gabisa 5 hari,"['ini', 'durasinya', 'gabisa', '5', 'hari']","['durasinya', 'gabisa', '5']","['durasi', 'gabisa', '5']",durasi gabisa 5,durasi gabisa 5,Netral
ati- ati Sandy IQ lu berkurang 😂,0,ati ati Sandy IQ lu berkurang,ati ati sandy iq lu berkurang,"['ati', 'ati', 'sandy', 'iq', 'lu', 'berkurang']","['ati', 'ati', 'sandy', 'iq', 'lu', 'berkurang']","['ati', 'ati', 'sandy', 'iq', 'lu', 'kurang']",ati ati sandy iq lu kurang,ati ati sandy iq lu kurang,Negatif
Takut iq sandy turun😭,2822,Takut iq sandy turun,takut iq sandy turun,"['takut', 'iq', 'sandy', 'turun']","['takut', 'iq', 'sandy', 'turun']","['takut', 'iq', 'sandy', 'turun']",takut iq sandy turun,takut iq sandy turun,Negatif
baru mau nyari,0,baru mau nyari,baru mau nyari,"['baru', 'mau', 'nyari']",['nyari'],['nyari'],nyari,nyari,Netral
SERU BGT PLS,0,SERU banget PLS,seru banget pls,"['seru', 'banget', 'pls']","['seru', 'banget', 'pls']","['seru', 'banget', 'pls']",seru banget pls,seru banget pls,Positif
plis aku setuju kalian ikut family 100 😭😭,2,plis aku setuju kalian ikut family,plis aku setuju kalian ikut family,"['plis', 'aku', 'setuju', 'kalian', 'ikut', 'family']","['plis', 'setuju', 'family']","['plis', 'tuju', 'family']",plis tuju family,plis tuju family,Positif
yang waras waras aja😭,0,yang waras waras aja,yang waras waras aja,"['yang', 'waras', 'waras', 'aja']","['waras', 'waras', 'aja']","['waras', 'waras', 'aja']",waras waras aja,waras waras aja,Positif
09.10 Niki lo cuma banggain tgl lahir yg sama😂,0,0910 Niki lo cuma banggain tanggal lahir yang sama,0910 niki lo cuma banggain tanggal lahir yang sama,"['0910', 'niki', 'lo', 'cuma', 'banggain', 'tanggal', 'lahir', 'yang', 'sama']","['0910', 'niki', 'lo', 'banggain', 'tanggal', 'lahir']","['0910', 'nik', 'lo', 'banggain', 'tanggal', 'lahir']",0910 nik lo banggain tanggal lahir,0910 nik lo banggain tanggal lahir,Netral
Niki resah banget pas dijelasin😂,0,Niki resah banget pas dijelasin,niki resah banget pas dijelasin,"['niki', 'resah', 'banget', 'pas', 'dijelasin']","['niki', 'resah', 'banget', 'pas', 'dijelasin']","['nik', 'resah', 'banget', 'pas', 'dijelasin']",nik resah banget pas dijelasin,nik resah banget pas dijelasin,Negatif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1350"">22:30</a> kenapa lucu bgt pls",14,kenapa lucu banget pls,kenapa lucu banget pls,"['kenapa', 'lucu', 'banget', 'pls']","['lucu', 'banget', 'pls']","['lucu', 'banget', 'pls']",lucu banget pls,lucu banget pls,Positif
Bermanfaat banget deh podcast ini. Lumayan buat bahan marinasi ayam.,0,Bermanfaat banget deh podcast ini Lumayan buat bahan marinasi ayam,bermanfaat banget deh podcast ini lumayan buat bahan marinasi ayam,"['bermanfaat', 'banget', 'deh', 'podcast', 'ini', 'lumayan', 'buat', 'bahan', 'marinasi', 'ayam']","['bermanfaat', 'banget', 'deh', 'podcast', 'lumayan', 'bahan', 'marinasi', 'ayam']","['manfaat', 'banget', 'deh', 'podcast', 'lumayan', 'bahan', 'marinasi', 'ayam']",manfaat banget deh podcast lumayan bahan marinasi ayam,manfaat banget deh podcast lumayan bahan marinasi ayam,Positif
"ngakak bgt yg part ini <a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=630"">10:30</a>",0,ngakak banget yang part ini,ngakak banget yang part ini,"['ngakak', 'banget', 'yang', 'part', 'ini']","['ngakak', 'banget', 'part']","['ngakak', 'banget', 'part']",ngakak banget part,ngakak banget part,Positif
jadi waras banget nonton podkes ini,0,jadi waras banget nonton podcast ini,jadi waras banget nonton podcast ini,"['jadi', 'waras', 'banget', 'nonton', 'podcast', 'ini']","['waras', 'banget', 'nonton', 'podcast']","['waras', 'banget', 'nonton', 'podcast']",waras banget nonton podcast,waras banget nonton podcast,Positif
Nyetel anjiir😭,0,Nyetel anjiir,nyetel anjiir,"['nyetel', 'anjiir']","['nyetel', 'anjiir']","['nyetel', 'anjiir']",nyetel anjiir,nyetel anjiir,Positif
pecahhh ngakak polll 😭🤣🤣,0,pecahhh ngakak polll,pecahhh ngakak polll,"['pecahhh', 'ngakak', 'polll']","['pecahhh', 'ngakak', 'polll']","['pecahhh', 'ngakak', 'polll']",pecahhh ngakak polll,pecahhh ngakak polll,Positif
AHAHAHAH LUCU BGT KALIANN BESTT!!,0,AHAHAHAH LUCU banget KALIANN BESTT,ahahahah lucu banget kaliann bestt,"['ahahahah', 'lucu', 'banget', 'kaliann', 'bestt']","['ahahahah', 'lucu', 'banget', 'kaliann', 'bestt']","['ahahahah', 'lucu', 'banget', 'kaliann', 'bestt']",ahahahah lucu banget kaliann bestt,ahahahah lucu banget kaliann bestt,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1192"">19:52</a> - <a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1215"">20:15</a> : cuma orang-orang smart yg bisa begini 🤙🏻<br>nice editor 🫰🏻",106,cuma orangorang smart yang bisa begini nice editor,cuma orangorang smart yang bisa begini nice editor,"['cuma', 'orangorang', 'smart', 'yang', 'bisa', 'begini', 'nice', 'editor']","['orangorang', 'smart', 'nice', 'editor']","['orangorang', 'smart', 'nice', 'editor']",orangorang smart nice editor,orangorang smart nice editor,Positif
